timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1725552000,Sep 05 2024 - 4:00pm,complete,N/A,Azerbaijan,Sweden,Balazs Berke,1,0.00,0.00,0.17,2.67,1,3,4,0,0,0,"82","65,71,80",2,8,2,0,2,0,0,2,0,2,16,32,10,12,3,12,4,20,39,61,0.00,0.00,1.72,2.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.75,4.00,1.60,1.25,1.75,3.00,5.50,1.80,1.91,N/A
1725561900,Sep 05 2024 - 6:45pm,complete,N/A,Portugal,Croatia,Halil Umut Meler,1,0.00,0.00,2.33,1.33,2,1,3,3,2,1,"7,34","41",5,7,0,0,1,0,0,0,0,1,16,14,7,5,3,7,5,6,50,50,0.00,0.00,1.46,1.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.55,4.00,6.00,1.22,1.70,2.70,5.00,1.73,2.00,N/A
1725561900,Sep 05 2024 - 6:45pm,complete,N/A,Scotland,Poland,Glenn Nyberg,1,0.00,0.00,1.17,0.67,2,3,5,2,0,2,"46,76","8,44,90'7",2,3,0,0,3,0,0,0,1,2,12,11,4,4,6,6,13,18,59,41,0.00,0.00,1.26,1.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.20,3.10,1.42,2.25,4.20,8.50,1.91,1.80,Hampden Park
1725561900,Sep 05 2024 - 6:45pm,complete,N/A,Denmark,Switzerland,N/A,1,0.00,0.00,1.33,0.33,2,0,2,0,0,0,"82,90'2","",6,1,4,0,4,2,1,3,0,6,18,7,9,2,5,3,17,13,55,45,0.00,0.00,1.67,0.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.00,3.10,1.55,2.50,4.75,9.50,2.00,1.73,Parken
1725561900,Sep 05 2024 - 6:45pm,complete,N/A,Serbia,Spain,Serdar Gözübüyük,1,0.00,0.00,1.00,2.67,0,0,0,0,0,0,"","",2,9,3,0,5,0,2,1,3,2,10,22,2,6,6,12,11,12,26,74,0.00,0.00,0.76,2.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.25,3.90,1.62,1.29,1.90,3.40,7.00,1.91,1.80,Stadion Rajko Mitić
1725561900,Sep 05 2024 - 6:45pm,complete,N/A,Estonia,Slovakia,Matej Jug,1,0.00,0.00,0.67,2.17,0,1,1,0,0,0,"","70",1,7,2,0,5,0,1,1,1,4,8,26,4,7,3,10,13,9,39,61,0.00,0.00,1.02,2.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.00,3.80,1.53,1.40,2.20,4.00,8.00,2.38,1.53,A. Le Coq Arena
1725561900,Sep 05 2024 - 6:45pm,complete,N/A,Belarus,Bulgaria,Ovidiu Hațegan,1,0.00,0.00,1.17,1.50,0,0,0,0,0,0,"","",5,5,2,0,3,1,0,2,1,3,9,18,3,10,5,5,17,13,42,58,0.00,0.00,0.90,2.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.40,3.20,2.20,1.44,2.38,4.80,10.00,2.20,1.62,ZTE-Aréna
1725561900,Sep 05 2024 - 6:45pm,complete,N/A,Northern Ireland,Luxembourg,Marian Alexandru Barbu,1,0.00,0.00,1.83,0.50,2,0,2,2,2,0,"11,17","",10,2,1,0,1,0,0,1,1,0,15,7,6,0,7,4,8,17,37,63,0.00,0.00,1.55,0.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,3.50,6.50,1.56,2.63,5.25,10.75,2.63,1.44,Windsor Park
1725561900,Sep 05 2024 - 6:45pm,complete,N/A,San Marino,Liechtenstein,Andris Treimanis,1,0.00,0.00,1.75,0.50,1,0,1,0,0,0,"53","",1,2,3,0,2,0,0,3,1,1,9,10,3,2,4,6,13,21,41,59,0.00,0.00,0.84,0.98,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,2.75,2.63,1.79,3.40,5.80,10.50,2.50,1.44,Stadio Olimpico di Serravalle
1725631200,Sep 06 2024 - 2:00pm,complete,N/A,Kazakhstan,Norway,Allard Lindhout,1,0.00,0.00,0.17,2.17,0,0,0,0,0,0,"","",1,12,4,0,1,0,2,2,0,1,5,20,0,3,4,8,12,9,29,71,0.00,0.00,0.40,1.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.50,5.75,1.29,1.21,1.62,2.59,4.57,2.10,1.67,Astana Arena
